timestamp,PULocationID,VendorID,demand,segmento_usado
2025-12-01 22:00:00,4,0,12.0,modelo_baseline
2025-12-01 23:00:00,4,0,12.0,modelo_baseline
2025-11-30 16:00:00,4,1,0.0,modelo_baseline
2025-11-30 17:00:00,4,1,0.0,modelo_baseline
2025-11-30 18:00:00,4,1,0.0,modelo_baseline
2025-11-30 19:00:00,4,1,0.0,modelo_baseline
2025-11-30 20:00:00,4,1,0.0,modelo_baseline
2025-11-30 21:00:00,4,1,0.0,modelo_baseline
2025-11-30 22:00:00,4,1,0.0,modelo_baseline
2025-11-30 23:00:00,4,1,0.0,modelo_baseline
2025-12-01 00:00:00,4,1,0.0,modelo_baseline
2025-12-01 01:00:00,4,1,0.0,modelo_baseline
2025-12-01 02:00:00,4,1,0.0,modelo_baseline
2025-12-01 03:00:00,4,1,0.0,modelo_baseline
2025-12-01 04:00:00,4,1,0.0,modelo_baseline
2025-12-01 05:00:00,4,1,0.0,modelo_baseline
2025-12-01 06:00:00,4,1,0.0,modelo_baseline
2025-12-01 07:00:00,4,1,0.0,modelo_baseline
2025-12-01 08:00:00,4,1,0.0,modelo_baseline
2025-12-01 09:00:00,4,1,0.0,modelo_baseline
2025-12-01 10:00:00,4,1,0.0,modelo_baseline
2025-12-01 11:00:00,4,1,0.0,modelo_baseline
2025-12-01 12:00:00,4,1,0.0,modelo_baseline
2025-12-01 13:00:00,4,1,0.0,modelo_baseline
2025-12-01 14:00:00,4,1,0.0,modelo_baseline
2025-12-01 15:00:00,4,1,0.0,modelo_baseline
2025-12-01 00:00:00,4,2,31.0,modelo_baseline
2025-12-01 01:00:00,4,2,29.0,modelo_baseline
2025-12-01 02:00:00,4,2,28.0,modelo_baseline
2025-12-01 03:00:00,4,2,27.0,modelo_baseline
2025-12-01 04:00:00,4,2,27.0,modelo_baseline
2025-12-01 05:00:00,4,2,28.0,modelo_baseline
2025-12-01 06:00:00,4,2,28.0,modelo_baseline
2025-12-01 07:00:00,4,2,27.0,modelo_baseline
2025-12-01 08:00:00,4,2,27.0,modelo_baseline
2025-12-01 09:00:00,4,2,27.0,modelo_baseline
2025-12-01 10:00:00,4,2,28.0,modelo_baseline
2025-12-01 11:00:00,4,2,28.0,modelo_baseline
